1508,"Mister, are you a swordsman?","大哥哥，你是一名剑士吗？","おにーちゃん、ひょっとして剣士さん？",
1528,"She's been going on\nand on about the world\ncoming to an end...","老是喃喃自语说『世界要毁灭了』\n这种古怪的话...","『世界が滅びる』とか、\n妙なことばかり口走ってるし……。",
1529,"Doesn't fill a man with much\nconfidence when a reputable\nfortuneteller says the end of\nthe world is nigh, you know?","今后艾斯塔里亚\n到底会变成什么样子呢...","いったいこのエステリアは\nどうなってしまったんだ……。",
1530,"With the monsters multiplying\nas rapidly as they are, Minea\ndoesn't seem so safe anymore!","魔物的数量一直不停增加，\n就连待在米内亚里面，\n也都变得不安全了！","魔物の数は増える一方だし\nこのミネアの中だって\nちっとも安全じゃないじゃないか！",
1532,"I saw Pim pick a ring off the\nground the other day. Right after\nthat, he went straight to his\nstore and put it on the shelf!","刚刚我看到交换所的老板\n在路边捡到戒指。\n后来我就跑到他店里去看，\n那个戒指已经被他摆在货架上了。","さっき取引所の主が\n道端で指輪を拾うのを見たんだ。\nそのあと、店に行ってみると\nちゃっかり指輪が棚に置かれてる。",
1533,"What kind of low-life would\njust sell something he finds\nlike that?!","连捡到的失物都拿去卖，\n这家伙真是厚颜无耻。","拾った物まで売り物にするとは\n厚かましい奴だよな。",
1534,"If you find someone's valuables\non the ground, you should make\nan effort to return them. It's\njust the right thing to do!","真是，以后要注意，\n千万不能在路上掉东西。","まったく、おちおち落とし物も\nしてらんねえぜ。",
1535,"All Pim cares about is profit.\nI bet the owner of that ring\nnever even crossed his mind!","物归原主，有这种想法的人...\n已经没有了。","落とし主に返すって考えは……\nあるわけねえか。",
1536,"I thought I'd try selling an\nold gem at Pim's, but he and\nI couldn't see eye to eye on\nits value.","我本来想把宝石卖给交换所，\n可是价钱谈不拢，n后来想乾脆就算了，不卖了。","取引所で宝石を売ろうと思ったんだけど、\n値段の交渉がうまく行かなくて\nやっぱり売るのをやめちゃったよ。",
1537,"I wonder if I'd have gotten\nanywhere by being more\npersistent...","也许那时候我应该死缠烂打下去，\n说不定还可以成交...。","もうちょっと粘れば、\nなんとかなったのかなあ……。",
1538,"What? You actually\ntalked him down?!","什么？\n你说那家伙答应你提的价格？","なに～～っ！\nあいつが値段交渉に応じたって？",
1539,"You're really persistent...\nI could never do that!","你的执着太惊人了，要我像你我可办不到。","スゴイ執念だなあ、俺には真似できないよ。",
1540,"I can't believe he caved...\nYou're really something,\nyou know that?","没想到他会妥协...\n这我实在学不来啊。","よく、あいつが折れたなあ……\n俺には真似できないよ。",
1542,"On a day like this, when the\nweather is good, you can see\nDarm Tower clear as anything\nfrom the town's ramparts.","像今天这样的好天气，\n从城墙上就可以看到\n那座巨大无比的『达姆之塔』。","今日みたいに天気がいいと\n町の城壁の上から\n馬鹿でかい『ダームの塔』が見えるんだ。",
1543,"It's amazing that our ancestors\nwere able to build a tower that\nstretches up beyond the clouds.","古时候的人还真是厉害。\n能建立起那个\n高耸入云的巨塔...。","昔の人間は凄かったんだな。\nあんな、雲まで届くような塔を\n建てちまうなんて……。",
1544,"Go up the mountain road from the\nnorth village, and you'll reach\nDarm Tower. The thieves are based\nout of there, though, so take heed!","达姆之塔从北边的村子出发，\n山路走到底就到了。\n不过那里似乎已经成为盗贼窝，\n我劝你最好还是不要靠近。","ダームの塔は、北にある村から\n山道を登っていけば辿り着くけど\n盗賊が根城にしてるらしいから\n近づかない方がいいぜ。",
1545,"Whenever I look at that tower,\nI get a cold chill down my\nspine. It just seems so...\nominous!","对了，那座塔看着看着，\n身体就会感觉到一股寒气。\n这到底是为什么呢？","そういや、あの塔を見てると\nなんだか寒気がしてくるんだよな。\n一体、どうしてなんだろう？",
1548,"On the other side of the\nnorthern pass, there's a\nhuge bowl-shaped crater\nknown as Bagyu Ba'dead.","北边的山路的另一边\n称为『巴丘·巴迪多』，\n那里有个钵状的巨大洞穴。","北にある山道の向こうには\n『バギュ＝バデット』と呼ばれる\nスリバチ状の巨大な穴があります。",
1550,"Seems to be where the thieves\nare coming from. Guess they\nmade their hideout there.","最近为害本地的盗贼集团\n好像就是从那个方向过来的。","近頃、町を騒がせている盗賊たちは\nそちらの方からやって来るみたいなんです。",
1551,"The city walls keep the\nmonsters out...but no such\nluck with the thieves!","城墙挡得了魔物，可是，\n对盗贼就行不通了。","城壁で魔物は防げても、\n盗賊には通じないみたいですね。",
1553,"Reah's harmonica was probably\nstolen by those inconsiderate\nfools...","说不定她的口琴\n就是被传说中的盗贼给夺走的也不一定。","ひょっとしたら、彼女のハーモニカも、\n噂の盗賊に奪われたのかもしれませんね。",
1554,"If you think about it, though,\nall the items the thieves have\nstolen were made of silver.\nSeems odd, doesn't it?","那些盗贼拿走的\n清一色都是些银制品...。\n这究竟是为了什么呢？","それにしても、盗まれるのは、\n銀でできた品物ばかり……。\nなにか意味があるんでしょうか？",
1556,"Ever since the silver mine on\nthe mountain was closed, the\ncost of everything has risen\nso dramatically!","自从矿山封闭了以后\n物价一直不停的上涨。\n真是，我快受不了啦。\n","銀鉱山が閉鎖されてから\n物の値段が上がってしょうがないの。\nまったく、イヤになっちゃうわ。\n",
1557,"Still, it's not like we could\nactually SELL any of our silver\ngoods, what with the Stormwall\nand all...","不过就算可以恢复采矿，\n有岚之结界挡在那里，\n不能做贸易还是一样没用。","でも銀が取れたって\n嵐の結界があるから\n貿易もできやしないけどね。",
1558,"And needs have to come\nbefore wants, you know?","想要的东西那么多，\n还是得列个优先次序出来...","欲しい物はたくさんあるけど、\n先立つものがなくっちゃね……。",
1559,"Ahh, I wish business\nwould pick up again...","啊，希望生意能像原来一样好起来...","あ～あ、早く景気よくならないかしら。",
1562,"Have you seen a one-eyed\nman around? His name is\nDonis...","你有没有看到只有一只眼睛的男人？\n他叫做多尼斯...。","隻眼の男を見かけなかったか？\nドニスって言うんだが……。",
1563,"Damned fool. He's down and\nout right now, so he's been\nneglecting his work. And he's\nrun off somewhere, to boot!","那个混蛋。\n一副要死不活的样子，\n好好的工作放着不干，不知道跑哪儿去了。","あんちくしょう、\n浮かない顔をしてると思ったら\n仕事をサボってどこかに行きやがった。",
1564,"That dumbass has\ndisappeared again.","多尼斯那家伙\n又跑不见人影了！","ドニスの野郎、\nまーたいなくなりやがった！",
1565,"All because he lost some ring\nhe wanted to give to his wife!","我看他弄丢要给老婆的戒指，\n还特别可怜他，\n对他特别客气了说！","奥さんに贈る指輪を\n失くしたっていうから\n大目に見てやったのに！",
1569,"Stand aside, please. There\nare patients to be seen.","喂，让开让开！\n有人受伤了。","ちょっと、そこをどいてくれ！\n怪我人が出たんだ。",
1570,"Me? I'm Dr. Klaus.","我吗？\n我是克拉杰医生。","私か？\n私は医者のクラーゼだ。",
1571,"Please, let me pass!\nI really must hurry!","喂，不要妨碍我！\n我现在忙得要命。","おい、邪魔をしないでくれ！\n私は本当にいそがしいんだ。",
1572,"If you're hurt, I'll examine\nyou later. For now, please\nstand aside!","喂！\n等你受伤了我再治你，总之\n现在请你让开！","こらこら、\n君が怪我をしたら診てあげるから、\n今は、ちょっとどいてくれ！",
1573,"If I don't hurry, I'll be too\nlate to help. So if you'll\nexcuse me...","我不快走就来不及了<1！\n我要失陪了。","早く行かねば間に合わ>2―<1―<1ん！\n私はこれで失礼する。",
1575,"Please stand aside. I'm\noff on an urgent house\ncall right now.","喂，麻烦你让开一下！\n我要赶去给人看病。","ちょっと、そこをどいてくれ！\n今から往診に行くんだ。",
1576,"Me? I'm Dr. Klaus.","我吗？\n我是克拉杰医生。","私か？\n私は医者のクラーゼだ。",
1578,"Please, stand aside.\nI must see my patient.","麻烦你让开一下！\n我是来诊疗的。","ちょっと、そこをどいてくれ！\n診察に来たんだ。",
1579,"Me? I'm Dr. Klaus.","我吗？\n我是克拉杰医生。","私か？\n私は医者のクラーゼだ。",
1581,"I'm in the middle of\nan examination.\nPlease, be quiet!","我正在给人看病，\n请你安静一下！\n","今、診察中なんだ。\nちょっと、黙っててくれ！\n",
1583,"I just got back from Sara's.\nPoor girl, to die so young...","我去莎拉的店看过了...\n那么年轻就...真是红颜薄命啊。","サラの店に行ってきたよ……\nあの若さで……何ともやり切れん。",
1584,"At the very least, she\nseemed to be at peace.\nJudging by the look in\nher eyes, anyway.","...唯一令人安慰的是\n她走掉的样子很安祥。\n她的眼睛是这样诉说的。","……せめてもの救いは、\n安らかな顔をしていたことかな。",
1585,"It looked as if she'd\naccomplished everything\nshe'd set out to do...","就好像她已经完成了\n自己应该完成的事情一样......","そう、まるで自分のなすべきことを\n果たし終えたかのような……。",
1589,"When the monsters started\nattacking, a lot of people\nmoved here from Rastin and\nBarbado Port.","自从魔物出现之后，\n许多人就从巴尔巴多和拉斯提尼村\n移居到这里来。","魔物が出現してから\nバルバドやラスティン村から\n多くの人間が移り住んできたのだ。",
1591,"And yeah, Minea is protected\nby walls, but we can't just\nshut ourselves away in here.\nWe've got to fight back!","这里确实有城墙在守护没错，可是\n也不可能这样永远封闭下去啊。\n一定得想出将魔物扫荡一空的方法...。","たしかに、この町は城壁で守られているが\nこのまま閉じこもるわけにもいかんだろう。\n何とか、魔物を一掃する方法はないものか……。",
1592,"Not just monsters, either,\nbut thieves, too! I swear,\nit's one thing after another!","如果只是魔物也就算了，\n最近城内陆续发生失窃事件。\n唉...问题多到积堆如山了。","魔物だけならともかく\n近ごろ、町で盗難騒ぎが相次いでいる。\nまったく……問題が山積みだ。",
1593,"The fortuneteller's been\nkilled...and we still have\nno idea who did it.","关于占卜师被杀事件...\n目前为止没有找到任何\n追查凶手的可疑线索。","占い師が殺された一件だが……\n犯人の手がかりは\n何ひとつ見つかっていないようだ。",
1594,"In light of that, the city\nwalls really don't seem all\nthat protective anymore...","不论哪一个问题，想要光靠城墙的守护，\n就安心渡日是绝不可能的吗...。","いずれにせよ、城壁に守られていても\n安心はできんと言うわけか……。",
1598,"Minea has an ancient history.\nSupposedly, its walls were\nbuilt a very long time ago.","米内亚有悠久的历史。\n听说这里的城墙\n是在很久很久以前建立的。","ミネアの歴史は古いんですよ。\n城壁が築かれたのは、\n遥か昔のことだと言われています。",
1600,"It's like a miracle that people\nback then could build huge stone\nramparts like these.","光是能够完成，\n那么巨大的石墙这一点，\n就让人觉得很不可思议了。","あんな大きな石造りの壁を\nこしらえる事ができたのは、\nなんとも不思議ですけどねえ。",
1601,"Makes you wonder how they\nmanaged it...","那么大片的石材墙壁\n当初究竟是怎么建造的呢。","あんな大きな壁、\nどうやって造ったんでしょうねえ。",
1602,"Ever since Sara's death,\nall the townsfolk have\nbeen nervous wrecks.","占卜师被杀的事件发生后，\n城里的人们\n都陷入不安的情绪之中。","占い師の事件以来\n町の人たちは、\n不安に駆られているようです。",
1603,"I certainly can't blame them,\nthough. I mean, all of this\nhappened within the city walls!\nWalls built to PROTECT us!","其实这也难怪。\n不管城墙再怎么坚固，\n也防不了城内的灾难啊...","無理もありませんわね。\n堅固な城壁も、中で起こる災厄までは\n防げませんから……。",
1605,"My mother lives by\nherself in Barbado.","我的母亲一个人\n在巴尔巴多生活。","私の母は、\nバルバドに一人で暮らしている。",
1606,"I keep trying to tell her to\nmove in with me, since it's so\nmuch safer inside the city\nwalls...but she won't listen.","我们跟她说过，那里没有城墙很危显\n请她搬过来跟我们一起住，可是\n她就是那么顽固，怎么说都说不听...","あそこは城壁もなくて危ないから\n一緒に住もうと言ってるのだが、\n頑として聞き入れてくれないんだ……。",
1607,"I know she doesn't want to\nleave her lifelong home, but\nis it really worth the risk?","我知道她的心情，她不想离开\n住惯了的老家...\n可是你不觉得生命比那个更重要吗？","住み慣れた家を離れたくないという\n気持ちも判るが……\n命には代えられないと思わないか？",
1608,"I need to figure out a way\nto convince her...","该怎么样说服妈妈呢...","どうやって母を説得したものか……。",
1610,"Since the monsters started\nshowing up, all the children\nare prohibited from leaving\nthe city.","自从魔物出没之后，\n孩子们就全部被禁止\n出城游玩...","魔物が出るようになってから\n子供たち全員に、\n門から出るのを禁止したんだけど……",
1611,"They look like they've grown\ntired of being cooped up here,\nbut what else can we do? It's\nfor their own good!","可是阻止到现在，他们似乎已经\n忍不住想要到外面去了。\n但我们还能做什么呢？\n这是为了保证他们的安全啊！","そろそろ城壁の中で遊ぶのに\n飽きてしまったみたい。\n無理もないわ、大人の私たちだって\n息が詰まりそうなんだもの……。",
1613,"The path around the town walls is\npretty narrow. Transporting silver\nto Barbado Port was a pain even\nbefore the Stormwall, as a result.","城墙外侧的道路非常狭窄，\n要很辛苦才能通过去。\n结界发生前，运送开采到的银矿去\n巴尔巴多港，一定很不容易。","城壁の外側の道はせまいから\n通るのに一苦労だわ。\n結界が起きる前は、採掘された銀を\nバルバドまで運ぶのに苦労したみたい。",
1614,"We've considered erecting\na south gate, but we don't\nwant to compromise the wall's\nstructure, you know?","当初想建造南门，遇到城墙太坚固\n无法拆除的问题而作罢。幸好\n当初没拆掉，否则魔物出现还不知该怎么办。","南門を造ろうにも、\n城壁が堅すぎて壊せなかったらしいの。\n今は魔物が出るから、逆に助かってるけどね。",
1618,"We're very fortunate\nto have Dr. Klaus in\nour city. His potions\nreally hit the spot!","本地有位名叫克拉杰\n的名医生。\n他调配的药很有效，\n不管什么样的伤马上都能治好。","この町には、クラーゼ先生という\n名医がいらっしゃる。\n先生が調合された薬は、\n傷をたちまち治してしまうんじゃ。",
1620,"Anytime there's an emergency,\nhe's always there in a flash.\nHe's a true hero to us all.","一听到有急病的病人，\n他二话不说就马上赶到。\n真是位济世救人的好医生啊。","急病人が出たら、\nすぐに駆けつけてくれるしのぉ。\nほんに、ありがたいお人じゃよ。",
1621,"...But because he's always\noff on house calls, he's\nrarely at the clinic.","美中不足的是，因为他不辞辛劳到处看病，\n结果导致他待在医院的时间很少。","まあ、どこにでも駆けつけてくれるかわりに、\n滅多に病院におらんのが玉にキズじゃがの。",
1622,"I have him scheduled to\ncome to my house for a\ncheck-up, in fact. Bet\nhe'll show up any minute!","克拉杰医生很快\n就会过来看病了。\n不管刮风下雨他都一定会赶过来。\n真是位济世救人的好医生啊。","今からクラーゼ先生が\n診察に来てくださるのじゃ。\nいつでも、すぐに駆けつけてくれるしのぉ。\nほんに、ありがたいお人じゃよ。",
1623,"The medicine the doctor\nmakes is really good stuff.\nIt'll cure what ails you,\nreal quick!","医生调配的药很有效，\n不管什么样的伤马上都能治好。","先生が調合された薬は、\n傷をたちまち治してしまうんじゃ。",
1624,"Thanks to the good doctor,\nI can relax...","托医生的福，我们才能安心的生活。\n他真的是位好医生啊。","先生のおかげで安心して暮らせるわい。\nほんに、ありがたいお人じゃよ。",
1627,"I just don't get it. She\nwas an eccentric one, sure,\nbut she had a good heart.\nWho would do that to her?!","怎么会发生这么可怕的事呢。\n虽然有点异于常人，不过，\n她可是性情温和的好姑娘呀。\n怎么会有人对她做出这种事？！","恐ろしいことが起きたものじゃ。\n少々風変わりだったが、\n気立てのよい娘さんじゃったのに……。",
1628,"Actually, speaking of Sara...\nI've been asking around to see\nif she has relatives anywhere...","对了...我听说那女孩\n好像在哪里有个亲戚呀。","そういえば……あの娘には\nどこかに親戚がいると聞き及んでおる。",
1629,"Doesn't seem to be anyone\nwho knows, though. And if\nshe does have any relatives,\nthey really should be told!","那个亲戚是住在哪里呢...\n就算是不幸的消息，至少，还是应该把消息带到的。","一体どこに住んでいるのやら……\n悲しい知らせであっても、伝えてやらんとな。",
1631,"We need to find her\nrelatives and break\nthe news to them...\n...Oh? You already have?","我想无论如何得通知那个女孩的\n亲戚知道才可以...\n对了，你帮我去通知好吗。","あの娘の親戚に知らせなければ\nならないと思っておったが……\nそうか、あんたが伝えてくれたのか。",
1632,"Well, it's awful news, but\nit's better to know than to\nwonder, right?","她的亲戚知道了可能会很难过吧。\n不过我认为他们应该会感谢你帮这个忙。","その親戚も、辛かったじゃろうが、\nあんたが知らせた事に感謝しとると思うぞ。",
1637,"You must not go to the mine.\nThe monsters there are extremely\npowerful. You'll be killed for\ncertain!","我强力建议你最好不要去矿山。\n那里的魔物可不是普通的强。\n你可能没几下就被打倒了。","鉱山には、絶対に行かない方がいいぞ。\nあそこの魔物の強さは半端じゃない。\nあっという間にやられるのがオチさ。",
1639,"It's fortunate for us\nthat they never venture\noutside. Word is, they\ncan't stand daylight.","幸好矿山的魔物\n不会出来外头。\n有人说那里的魔怪害怕阳光照射。","幸いなことに、鉱山の魔物は\n外に出てくるつもりはないらしい。\n日の光が苦手って話もある。",
1640,"But listen to me, warning\na stranger not to set foot\nin a place no sane man\nwould dare enter anyway...","我想应该没有人\n会没事找事，跑去那个地方吧。","まあ、あんな所に用事のある\nヤツなんていないと思うけどね。",
1642,"The mine is pitch black,\nand hard to navigate on\naccount of the haphazard\ntunnel structure.","矿山里面漆黑无光，而且结构复杂。\n这是当初为了挖白银，到处乱挖的结果。","鉱山は真っ暗で、やたらと入り組んでいる。\n銀を求めて、手当たりしだいに掘り進んだ結果さ。",
1643,"Even if you're familiar with\nit, it's quite easy to lose your\nway. Not to mention, it's also\nteeming with monsters!","矿坑里面像迷宫一样，\n就连老矿工也是经常迷路。\n更不用说已成为魔物巢穴的现在了。","内部は、よほど慣れたやつでも\n自分の居場所を見失うような迷宮だ。\nおまけに今は、魔物の巣だしな。",
1644,"And the limited vision\nmakes it easy for things\nto sneak up on you...","总之在里面的视界有限，\n魔物往往从你料想不到的地方偷袭过来。","とにかく視界が限られてるから、\n思わぬところから魔物が襲ってきやがる。",
1645,"If you're planning to enter the\nold mine, you'll need a strong\nwill and stronger steel.","如果你真的要去废矿坑，\n那你得有相当的实力跟心理准备才行。","もし、廃坑に行くなら、\n相当の実力と覚悟が必要だぜ。",
1646,"You went right into the\ndepths of that demon-\ninfested mine?!","你到魔物巢穴的废矿坑的最深处，\n去了一趟又回来了吗...","魔物だらけの廃坑の\n一番奥まで行ってきたのか……。",
1647,"Goodness gracious!","你太厉害了。","あんた、スゴイな。",
1651,"My father is the mayor\nof Zepik Village, to\nthe north.","我父亲在北边的\n塞皮克村当村长。","私の父は、北にあるゼピック村で\n村長をやっています。",
1652,"Lately, he's been a\nlittle preoccupied\nwith something, though.","最近他好像有什么\n很严重的烦恼的样子。","最近、何だか深刻な悩みを\n抱えているみたいなんです。",
1653,"Last time I saw him, he was\nall like, 'The villagers\nmustn't hear of this...'","上次我跟他碰面他还抱怨\n『对村里的人说不出口』\n等等之类的...","この前会ったら\n『村の者にはとても話せん』と\nこぼしていました……。",
1654,"Please...if you go to\nZepik Village, would\nyou talk to him for me?","求求你。\n如果你有要去塞皮克村的话，\n当我父亲商量的对象好吗？","どうかお願いします。\nゼピック村にいくことがあったら\n父の相談に乗ってあげてくれませんか？",
1655,"It's so unlike him to be\nso panicked and perturbed...\nwhat in the world could have\nput him in such a state?!","我头一次看到父亲那个样子...\n不知道到底发生了什么事？","あんな父は初めてです……\nいったい、何があったのかしら？",
1656,"Please...if you go to\nZepik Village, would\nyou talk to him for me?","我求求你。\n如果你有要去塞皮克村的话，\n当我父亲商量的对象好吗？","どうかお願いします。\nゼピック村にいくことがあったら\n父の相談に乗ってあげてくれませんか？",
1657,"I heard from my father\nthat you retrieved his\nSilver Bell.","我听塞皮克村的父亲说了。\n听说你把银之铃\n拿回来给他了。","ゼピック村の父から話を聞きました。\nあなたが銀の鈴を\n取り戻してくださったんですってね。",
