683,"Just be sure you come back alive...\nor I'll kill you!","你一定...一定要回来哦！","必ず……戻ってくるんだぞ！",
703,"The monsters tend to avoid me, yet\nalways attack the villagers I'm\nescorting, from behind, without\nfail. Cunning bastards...","有时候魔物偏偏不找我，\n专挑后面被护送的人，\n找弱的人下手。\n都是堆狡滑到令人害怕的家伙。","魔物たちが、俺を狙わずに\n後ろで護衛されてる人間めがけて\n襲いかかってくることがある。\n恐ろしいほど狡猾な奴らだぜ。",
704,"I guess the only way to\nprotect others is by\nputting yourself between\nthem and the enemy.","保护他人的要诀是\n随时保持在敌人与自己人中间的那个位置。","他人を守るコツは、\n常に、敵と味方の間に自分を置くことかな。",
705,"They're wily ones, though. When\nyou're outside the town, be sure\nyou don't let your guard down for\neven a single instant!","总之那些家伙很狡滑就对了。\n到了城镇以外的地方，绝不能露出半点破绽。","とにかくヤツらは狡猾だ。\n町の外に出たら、一時も隙を見せるなよ。",
708,"We watch the surrounding area from\nhere. That way, if the demons try\nto mount an attack, we can see them\ncoming and get ready for it.","从这里可以监视城外的情况。\n魔物妄图入侵时，\n一眼就看出来了。","ここから町の外を見張っているんだ。\n魔物が侵入しようとしたら\nひと目でわかるからね。",
709,"I doubt they'll attack\nduring the day, of course,\nbut 'tis better to be safe\nthan sorry...you know?","我想那些魔物\n是不大可能大白天就来偷袭，不过...\n总之绝不以大意轻敌。","昼間っから魔物が、\n襲ってくることはないと思うけど……\n何しろ油断大敵だからね。",
710,"It's tedious work, but\nSOMEBODY has to keep\nwatch over the city. And\nthat somebody is me!","虽然无聊，但是为了城里的安全，\n总得有人来做这份工作嘛。\n...片刻都不能大意哦。","退屈な仕事だけど、町の安全のために\n誰かがやらないといけないからね。\n……気が抜けないんだ。",
711,"The monsters pretty much never hit\nus here. But the fact remains, they\neasily COULD. You can never tell\nwhat they're thinking!","最近没有发生魔物的袭击。\n可是只要我们一放松，\n它们又会看准机会打过来...\n就好像背后有人在操纵一样。","ここんとこ、魔物の襲撃がないんだ。\nでも、こっちが気を抜いていると\n見計らったように襲ってくる……。\nまるで誰かに操られてるみたいだよ。",
712,"Our little port town isn't behind\nwalls like Minea, so it falls on us\nto keep the place safe. In a sense,\nit's like WE'RE Barbado's walls.","本地没有像米内亚那样的城墙，\n所以就得靠我们的自卫队来保护了。","この町は、ミネアみたいな城壁がないから、\n僕たち自警団が守っているんだ。",
715,"I came here because I heard\nI could make a tidy profit\nin the local silver trade.","唉，我是听说这里的银矿很赚钱，\n才专程跑来这个边境地带的说。","ああ、銀で儲かると聞いたから\nこんな辺境に、わざわざやってきたのに。",
716,"Now I just want to go home. Damned\nStormwall! May its stormy progeny\nall suffer uncomfortable bloating!","好想赶快回大陆哦。\n要不是有可恨的什么结界...","さっさと大陸に戻りたいよ。\nあの忌々しい結界さえなければ……。",
717,"You're from the mainland\nas well, aren't you? What\nbrings you to Esteria?","你也是从大陆来的人吧？\n你是来艾斯塔里亚做什么的呀？","あんたも大陸から来たんだろ？\nエステリアに一体何しに来たんだい？",
718,"Do you know Pim, the barterer?\nHe came here around the same\ntime I did.","你知道米内亚的商人皮姆吗\n那家伙跟我差不多同一时候\n来艾斯塔里亚的。","ミネアのピムという商人を知ってるか？\nあいつは私と同じ頃、\nエステリアにやってきたんだ。",
719,"He's a shady one. Has to be, though,\nworkin' a place like that. Gotta\ncheck your scruples at the door.","听说他在那里很吃得开，\n想也知道他背地里不知干了多少肮脏事。\n要不然，\n开交换所怎么可能赚钱呢。","羽振りがいいとは聞いているが\n裏で汚いことをやってるに決まってる。\nそうでなかったら、\n取引所なんて儲かるわけがないんだ。",
720,"At any rate, there's no way back to\nthe mainland right now. So I'm stuck\nhere, selling crap to the locals!","啊...到底有没有\n可以让我们回去大陆的方法呢...","ああ……どうにかして、\n大陸に帰る方法はないものか……。",
722,"At one time, Barbado was swimming\nin traders like my husband. But\nthey all tried to go home, and got\nswallowed up by the storms.","以前巴尔巴多\n还有很多像我们一样的商人。\n大家搭船想逃离这里，\n结果都被暴风雨吞没...","かつてこのバルバドには、\nウチの人以外の貿易商も多くいたわ。\nでも、船で脱出しようとして\n嵐に呑みこまれてしまったの……。",
723,"I'm just grateful to have\nmy family here with me,\nthough. That's enough to\nkeep me happy.","我是因为携家带眷的关系，\n行动慢人一步，没想到\n反而因此保住了一命。","ウチは家族連れだったから、\n素早く動けなかったんだけど\nかえってそれが幸いしたのね。",
724,"You're going to Minea, no?\nBe careful of the monsters\nwandering the plains.","你要去米内亚？\n那你得小心草原上的魔物哦。","あなた、ミネアに行くの？\n草原の魔物には、気をつけなさいね。",
725,"My husband does prattle on, doesn't\nhe? Maybe if he'd join the militia,\nor take up fishing, he could work\nout some of his anxiety.","我老公真是的，\n就只会在那里怨天尤人...\n他要嘛加入自卫队，要嘛去捕鱼\n活动活动身体都好。","まったくウチの人ときたら、\nウダウダとグチばかりこぼして……。\n自警団に入るなり、漁をするなりして\n身体を動かせばいいのに。",
726,"I need to look for\nsomething I can do to\nhelp around here, myself!","我也去找找看有没有我能做的\n对镇上有益的事情...","私も、町の役に立てることはないか\n探してみようかしら……。",
729,"My daddy always talks about\nleaving Esteria. But why\nwould I leave, when I have\nso many good friends here?","爸爸经常在说要离开这个国家。\n可是我一点也不想回去。\n我好不容易在这里交了朋友...。","パパ、この国から出ることばかり言ってる。\nわたし、もどりたくなんかないよ。\nせっかく友だちもできたのに……。",
730,"Ahhh... I think I'm gonna\ngo play with my friend\nnext door!","啊，我去找邻居的小孩玩。","あ～ぁ、となりの子とあそんでこようかなぁ。",
733,"My son and his wife live\nin Minea.","我儿子跟媳妇\n都住在米内亚城内。","アタシの息子夫婦は、\nミネアの町に住んでいるんだ。",
734,"They keep asking me to go live with\nthem...but they must be joking! This\nis my home. I could never leave\nhere, no matter what the danger!","他们要我一起去住...\n开什么玩笑，\n我是打死、\n都不会想离开这里的。","一緒に住めと言ってくるが……\n冗談じゃない。\nアタシゃ絶対に、\nここを離れるつもりはないね。",
735,"At my age, I've no intention of\nfinding a new home.","都活到这个年纪了，我是不可能\n离开这住惯了的老家的。","この歳で、住み慣れた家を\n離れるつもりはないよ。",
736,"I was born and raised here.","我可是在这里出生、\n在这村长大的呀。","アタシゃ、ここで生まれて\nここで育ったんだからね。",
737,"I hope my son and his wife\nare doing well in Minea.","我那住在米内亚的\n儿子跟媳妇不知道好不好...","ミネアの息子夫婦は、\n元気でやってるかねぇ……。",
738,"I would like to be able to sneak\naway to see my grandchild...but\ntraveling these monster-infested\nroads is far too dangerous!","我的孙子正值淘气的年纪，\n没有一直在旁看着...\n搞不好会偷溜出城去呀。真是令人担心。","孫も遊びたい盛りで、\nいつ町を抜け出しちまうか……。\nアタシがついてないと、どうも心配だよ。",
739,"I'm sure my family's doing\nwell...but I still worry\nabout my dear grandchild.","希望他们都身体健康。\n...只是，对孙子的事我还是不大放心。","元気にしてるといいんだけどねえ。\n……孫のことが、少し心配だよ。",
741,"Slaff is working hard to keep\nthe town safe...but in the end,\nhe may just be kidding himself.","虽然史拉夫常常在训练，\n可是临时抱佛脚也没用啊...","スラフはよくやってるが\nしょせんはつけ焼き刃さ……。",
742,"Rather than live in fear of a\nmonster attack, wouldn't it be\nbetter for everyone in Barbado\nto move to Minea?","与其在魔物入侵的威胁下生活，\n还不如乾脆全巴尔巴多的人\n都移民到米内亚去会比较好吧？","魔物の侵入に脅えて暮らすより\nいっそバルバドの人間全員が、\nミネアに移る方がいいんじゃないか？",
743,"However hard we try, we're\nsimply no match for the monsters.\nIf they attack us, we're done for!","不管再怎样努力练功，\n我看都很难打赢魔物...","どんなに頑張ったって、\nしょせん魔物にはかなわないんだ……。",
744,"You should try to talk some\nsense into that stubborn fool.\nWith mesmerizing hair like yours,\nmaybe he'd listen!","你也是同样的想法对吧？","なぁ、あんたもそう思うだろ？",
745,"You went to Minea? Are you daft?!\nThere are monsters everywhere!","你说你去过米内亚了？\n你...你不怕魔物吗？","ミネアに行ったんだって？\nあんた……魔物が怖くないのか？",
746,"There was once a village near the\nmine, but I hear it was razed to\nthe ground by the monsters.","矿山附近的村子\n就是被魔物消灭的啊...","鉱山の近くにあった村なんか\n魔物に滅ぼされたっていうのに……。",
747,"How is that you and Slaff can\nbe such brave men? Do you just\neat a lot of fiber, or what?!","不管是你还是史拉夫...\n真搞不懂为什么你们能够那么有信心？","君といい、スラフといい……\nどうしてそんなに、前向きでいられるんだ？",
750,"This is the town where I was\nborn and raised. It's my home!\nTo even consider leaving this\nplace...","这里是我出生、成长的地方...\n可能的话我不想移民到外地去。","ここは私たちの生まれ育った町……。\nできれば他へ移りたくないわ。",
751,"But my child's safety is\nparamount. So perhaps\nMinea, with its city wall,\nreally is the place to be!","但是为了家里的孩子...\n或许住在有城墙的米内亚\n会比较安全吧？","でも、うちには子供もいるし……。\n城壁のあるミネアの方が\nやっぱり安全なのかしら？",
752,"Our Danny certainly wants to go to\nMinea. He's already tried to make\nthe journey, in fact...with the\nneighbor's little girl in tow!","我儿子真是的，\n竟然想带着邻居家的女孩\n到米内亚去。","うちの子ったら、\n隣の家のお嬢さんを連れて\nミネアへ行こうとしていたの。",
753,"We always warn them how dangerous\nit is outside the town... Well,\nlet me tell you, they got what was\ncoming to them!","再三跟他叮咛过\n城外面很危险的...。\n等他回家我一定要好好的骂他一顿。","町の外は危ないって、\nあれほど言っておいたのに……。\n帰ったら、きつく叱っておかなくちゃ。",
755,"Hey Mister, did you come\nfrom the mainland? Isn't\nthe Stormwall really neato?!","大哥哥你是从外面来的吗？\n岚之结界是不是很可怕呀？","にーちゃん、そとから来たのか？\nアラシのケッカイって、スゲーかった？",
758,"I hope it stays forever! If\nit ever goes away, the girl\nnext door will have to leave\nwith her family.","我比较希望结界不要消失。\n消失的话，邻居家的女孩就得跟家里的人\n搭船回去家乡了。","オレ、ケッカイ消えないでほしいなぁ。\n消えたら、となりの女の子のウチが\n船で帰るって言ってたもん。",
759,"Three cheers for the Stormwall!\nIt's what got me my girlfriend!","...结界\n要是不会消失就好了...","……ケッカイ、\nきえないでほしいな……。",
760,"These little critters are called\npikkards. They've been raised as\nlivestock here for generations.","这只叫做皮卡多。\n自古以来这个国家的人所饲养的家畜。","こいつらは、ピッカードといってな。\n昔から、この国で飼われてきた家畜じゃよ。",
762,"Their meat is absolutely delicious,\nbut they're real easy prey for\nmonsters. So we raise 'em here,\nwhere nothing can hurt 'em but us!","肉质非常棒，美味极了。\n因为会成为魔物的猎物，\n所以就这样圈在城里面养了。","肉がまた、極上の味でのう。\n魔物の餌食になるから、\nこうして町の中で育てているんじゃ。",
765,"Since the ships are all grounded,\nthere's no work to be had at the\nharbor anymore.","自从船只不能通航以后，\n港口的工作机会就全部没了。","船が出ないから、\n港の仕事がなくなっちまったよ。",
767,"I'd been hoping to branch out\ninto the silver trade...but\nthat didn't exactly work out\neither. Bad luck, all around!","之前我们都是靠银矿交易在过活的，\n偏偏在打算扩大营业的时候...。\n...太遗憾了。","ずっと銀の取り引きをやって来て、\n手を広げようとしていた矢先だったのに。\n……ほんとに残念だよ。",
768,"*sigh* Guess it's a fisherman's\nlife for me!","啊，到底该怎么办呢。\n...难道只剩捕鱼一途了吗。\n","ああ、どうすりゃいいんだ。\n……やっぱり、漁師になるしかないかな。\n",
770,"Watch out for the blue-headed\ndemons out in the field. Be\ncareless, and you'll be dead.","在草原要注意青脑袋的魔物。\n还没有习惯作战之前，\n很难把它打伤。","草原では、青い頭の魔物に気をつけろよ。\n戦い慣れないうちは\n傷ひとつ、つけられないかもしれない。",
771,"You're only human, after all.\nIf you're not sure about your\nchances for survival...then\nrun away! Run like the wind!","留得青山在不怕没柴烧，\n见情况不妙的时候别意气用事，赶快逃。","命あっての物種だからな。\n意地を張らずに、逃げた方がいいぜ。",
772,"Slaff should ease up a bit,\nand stop worrying. If things\nget hectic, everyone here can\nalways just move to Minea.","史拉夫也真是的，\n何必那么紧张呢。\n情况不妙时，大家全部\n逃到米内亚避难就好了嘛。","まったくスラフさんも、\nもーちょっと肩の力を抜けばいいのに。\nいざとなったら、ここの住民全員が\nミネアに避難することも出来るんだからさ。",
773,"I love this town...but would I die\nfor it? Hell no! Rastin's villagers\nmade that mistake, and I do NOT\nintend to end up like they did!","我是在这地方住习惯了啦，不过...\n我可不想步上拉斯提尼村的后尘。","この町にも愛着はあるけど……\nラスティン村の二の舞はゴメンだぜ。",
774,"Word on the street is that\nMinea's having a real problem\nwith thieves these days...","不过现在谣传米内亚\n正饱受盗贼之害...","でも噂では、盗賊がミネアの町を\n荒らしまわってるみたいだな……。",
775,"Thieves and monsters...\nImagine having to contend\nwith both at the same time!","魔物跟盗贼吗...\n任何一边都很麻烦呀...","魔物と盗賊か……\nどっちも厄介だなぁ……。",
777,"Things were great six months\nago. Huge trade ships were\ncoming in constantly, and\nBarbado was flourishing.","半年前还是那么美好的呀...\n大商船接二连三的开来，\n那时巴尔巴多港可是热闹极了。","半年前までは、よかったわ……。\n大きな貿易船が次々と来航して、\nこのバルバドも凄くにぎわってた。",
778,"But these days, all we do is\nfish, fish, fish. I yearn for\nthe way things were...","如今却成了普通的渔村...\n真怀念那个时候啊。","今じゃ、ただの漁村……。\nあの頃がなつかしいわ。",
779,"*sigh* I'm not sure this town can\nsurvive on fishing alone. It's only\nbeen six months, and we're already\nin a pretty bad way...","呼...\n短短半年就变成原来的渔村...\n感觉好空虚啊。","ふう……\nたった半年で元の漁村……\nなんだか空しくなっちゃうわね。",
780,"I wonder what caused the\nStormwall... If we knew\nthat, we might be able to\nget rid of it!","岚之结界的形成原因是什么呢？\n我想要是查得出来，\n这个国家就能恢复原来的样子了。","嵐の結界って、何が原因なのかしら？\nそれさえ分かれば、\nこの国も、元通りになると思うのよね。",
782,"Six months ago, monsters started\nshowing up on the north road.","大约半年前，北边的街道\n开始有魔物出没。","半年ほど前、北の街道に\n魔物が出るようになったのよ。",
783,"As a result, I haven't seen\nmy friends in Minea for quite\nsome time. I wonder how they're\ndoing these days...","害我有好一阵子都没办法\n去见米内亚的朋友。\n他们现在不知道怎么样了...","おかげでミネアにいる友達にも\nしばらく会っていないわ。\n今ごろどうしてるのかしら……。",
784,"Minea's protected by city walls,\nso it's a safer place to be.","米内亚有坚固的城墙，\n我想是比这里安全。","ミネアの町は、立派な城壁があるから\nここより安全だと思うんだけどね。",
785,"On the other hand, I hear they\nhave some serious crime problems\nthere. Lots of thievery...","不过现在又有风声说\n米内亚频频遭到盗贼骚扰...","でも、ミネアの町では\n盗賊が暴れてるって噂もあるし……。",
786,"You know what? I trust our militia.\nThey look after us, Minea, and even\nZepik! They're good people.","还是自卫队比较可靠啊。\n会护送民众到\n米内亚或塞皮克村。","自警団って、やっぱり頼りになるわね。\nミネアやゼピック村まで、\n護衛してくれたりするのよ。",
787,"But we can't just take them for\ngranted. I mean, you just never\nknow, right?","不过也不能突然就开口要他们帮忙。\n那样做不大好吧？","でも、そうそうは頼めないけどね。\nやっぱり、悪いじゃない？",
788,"But just between you and me...\nI feel like the men here tend to\nperpetuate violence just to satisfy\ntheir own sense of machismo!","这话我只跟你说哦...\n你不觉得看到男人\n为自己冒生命危险...","でも、ここだけの話……\n自分のために男の人が\n危険を犯してくれるのって……",
789,"Though, I dunno, I actually...kinda\nlike that! Big, strong, supple men\nfighting to keep me from harm...\nIt's really pretty sexy!","内心有点高兴吗。","なんだか、ちょっと嬉しいものよね。",
793,"Well, now, who might you be?","哦，你不是本地人哦...","おや、見かけん顔じゃのう……",
794,"I see, so you're the young man that\nDr. Bludo has been looking after...\nYou must've been through a lot!","是吗，原来你是被送去布鲁多医生\n那里的年轻人啊...\n发生海难真是不幸啊","そうか、ブルドー先生の所に\n運び込まれた若者か……\n災難な目にあったそうじゃのう。",
796,"But you're looking very well.\nThat's Bludo for you!","不过看你好像很健康的样子，\n这应该是布鲁多医生的治疗的功劳吧。","しかし、すっかり元気そうに見えるぞ？\nブルドー先生の手当てのおかげじゃろうな。",
797,"There's a fortuneteller who\nlives in #02Minea#00, to the north.\nShe predicted the Stormwall,\nthe monsters...everything!","北#02米内亚街道#00的占卜师\n对于岚之结界与魔物的出现，\n好像做过很多预言的样子...","北の#02ミネアの町#00にいる占い師は、\n嵐の結界や、魔物の出現について\nいろいろと予言していたらしい……。",
798,"If there's something you need to\nknow, you should go visit her.\nShe'll answer every question you\ncould possibly have!","如果你有什么事情想要知道，\n去拜访一下那位占卜师怎样？","もし、知りたいことができたら\nその占い師を訪ねてみたらどうかね？",
799,"...Once you're feeling up to it,\nthat is. Don't want your wounds\nreopening, after all!","不过那是等你的\n身体恢复过来再说的事了。","まあ、身体の調子が\n良くなってからの話じゃがな。",
800,"In the ruins past Zepik Village,\nthere's a row of statues depicting\na winged goddess. Their beauty is\nlike nothing else I've ever seen.","塞皮克村前面的神殿遗迹里面，\n有背上长翅膀的女神像排列在那里。\n那美丽的样子啊，\n绝非世间所有。","ゼピック村の先にある、神殿の遺跡の中には\n翼を持った女神像がいくつも並んでおる。\nその様子は、この世のものとも思えぬ\n美しさじゃった。",
801,"Actually, though...that shrine is\nawfully cramped inside, considering\nhow big it looks from the outside.\nOr maybe I'm just misremembering!","以神殿的大小来说，\n里面却出人意料的狭窄。\n不过这是很久以前的事了，我也记得不是很清楚。","しかし、あの神殿の大きさからすると\n中は意外なほど、狭かった気がするのぉ。\nまぁ、昔のことなんで、記憶もあやふやじゃが。",
804,"I've been fishing here for\nas long as I can remember...","我从很久以前开始\n就一直在这里靠捕渔为生...","俺はずっと前から\nここで漁をやってるんだが……",
805,"Since the Stormwall appeared,\nmy catch has been consistently\nbigger than ever. I believe one\nwould call that a mixed blessing!","岚之结界发生以后\n渔获反而变多了。\n还真是讽刺啊。","嵐の結界が起きてから\n逆に魚が多く獲れるようになった。\nなんとも皮肉なもんだな。",
806,"It's totally wiped out our\ntrade, but hey, at least we're\nnot starving, right?","岚之结界导致\n大家生意都做不成了。不过\n幸好还可以捕鱼，至少不用担心饿死。","嵐の結界のせいで、\n貿易はできなくなったが、\nおかげで飢え死にする心配だけはないよ。",
807,"Whichever way you look\nat it, Barbado always was\njust a fishing village.","不管世事如何变化，\n巴尔巴多这儿\n本来就是一个渔村了嘛。","なんだかんだ言っても\nもともとバルバドは\nただの漁村だったんだからな。",
808,"Is it really so bad to\nreturn to the old ways?","乾脆就保持这样，\n回到过去的生活方式也不错？","いっそのこと、このまま\n昔に戻ってもいいんじゃねえか？",
810,"If only I were bigger...","我要是\n再长大一点就好了。","オレがもーちょっと\n大きかったらなぁ。",
811,"I'd join the militia, and wipe\nout all the monsters with my\nawe-inspiring legendary blade!","这样我就能加入自卫队，\n很帅气的拿剑\n把那些魔物通通赶跑。","ジケーダンに入って\nマモノを、剣でカッコよく\nおっ払ってやるのにさぁ。",
813,"Whenever we want to go to\nMinea and play, the woman\nnext door always stops us.","我想去米内亚玩，可是被\n邻居家的阿姨给阻止。","ミネアに遊びに行こうとしたら\nとなりの家のママに、とめられちゃった。",
814,"She says it's because the demons\nmight get us. I say, let 'em try!\nWe'll beat 'em black and blue!","说是担心会碰到魔物。\n好无聊哦...","魔物がでるからですって。\nつまんないの……。",
817,"Before the Stormwall appeared,\nthis bar was always packed.","岚之结界发生前，\n我们酒馆的生意可是好的要命呢。","嵐の結界が起きる前は、\nこの酒場も、すごく繁盛してたんだよ。",
820,"I can handle being poor...\nI just really hate being\nbored all the time!","我觉得穷一点也无所谓，只是...\n我讨厌这种死气沉沉的气氛。","貧乏なのは平気だけど……\n活気がないのは、なんだかイヤだな。",
821,"I can't just sit around. Maybe\nI should ask Slaff to let me\njoin the militia...","老是发呆也不是办法，\n我也去拜托史拉夫，\n加入自卫队好了。","ぼーっとしてるのもなんだし\nスラフさんに頼んで、わたしも\n自警団に入れてもらおっかな。",
824,"But, yeah, that'd be about as\nuseful as punching a wall!","史拉夫！","スラフさんたら～～！",
826,"If I told him I wanted to join,\nhe'd be all like, 'The militia\nis NOT FOR KIDS!'","我说我想加入自卫队\n他居然说『这里不收儿童』！","自警団に入りたいって言ったら\n『子供の出る幕じゃない』だって！",
